question,contexts,ground_truth,evolution_type,metadata,episode_done
What are Scope 1 GHG emissions and what sources do they include?,"['We source the global warming potentials (GWP) for each \nGHG from the IPCC Fourth Assessment Report, Appendix A: Global Warming Potentials.\nScope 1 GHG emissions\nScope 1 GHG emissions are direct emissions from sources such as company vehicles or generators at our offices and data centers. They represent direct emissions from owned Global Facilities, including fuel use from back-up generators, fuel consumption from our operated vehicles and aircraft, methane and nitrous oxide from biogenic fuel sources, natural gas usage, and refrigerant leakage. Where actual data isn’t available, estimated natural gas consumption is calculated using square footage of Global Facilities and internally-developed natural gas intensity    87\n2023 Environmental Report  factors by office type, based on data from the current \nfiscal year. \nBeginning in 2022, in an effort to continuously implement \nbest practice methodologies, we included fugitive \nemissions from refrigerant leakage in our operational']","Scope 1 GHG emissions are direct emissions from sources such as company vehicles or generators at offices and data centers. They include direct emissions from owned Global Facilities, fuel use from back-up generators, fuel consumption from operated vehicles and aircraft, methane and nitrous oxide from biogenic fuel sources, natural gas usage, and refrigerant leakage.",simple,[{}],True
How does increasing protection status contribute to the conservation of coral reefs and other ecosystems?,"['actions—like habitat restoration, increasing protection status, and building wildlife crossings.\nGoogle teamed up with the Commonwealth Scientific \nand Industrial Research Organisation (CSIRO—Australia’s national science agency) and the Kaggle data science community to protect coral reefs including Australia’s Great Barrier Reef, the world’s biggest coral reef system. We developed a machine learning solution to analyze underwater images  of a species of starfish that feed \non living coral. By detecting them more accurately and efficiently, scientists can now more easily monitor the reef and manage the impact of the starfish more effectively. In collaboration with CSIRO and other partners, we’re also applying AI to measure carbon sequestration  capacity of \nseagrass ecosystems.\nSince 2017, Google has been a founding technology \npartner in Wildlife Insights —a collaboration between']","Increasing protection status contributes to the conservation of coral reefs and other ecosystems by providing legal safeguards and regulations that limit human activities that may harm these environments. This helps to preserve the biodiversity and ecological balance of these areas, allowing them to thrive and function effectively.",simple,[{}],True
How much water have Google's contracted watershed projects replenished as of the end of 2022?,"['In addition to focusing on responsible water use within our \noperations, we aim to replenish 20% more freshwater than we consume each year, on a global average basis. We’ll focus our replenishment efforts in watersheds that Google offices and data centers rely on. The additional volume of water we replenish at each location will vary depending on the local conditions, and we’ll prioritize replenishment projects in water-scarce regions to help ensure that we’re positively impacting the areas that need it most.\nAs of the end of 2022, the first full year since we launched \nthis strategy and target, our contracted watershed projects have replenished 271 million gallons of water\n\u2009102—\nequivalent to more than 400 Olympic-sized swimming pools. This represents 6% of our 2022 freshwater consumption. As of the end of 2022, we estimate that these 38 replenishment projects had the capacity to replenish over 1.3 billion gallons of water annually once fully implemented.Water replenishment \nprojects']",271 million gallons of water,simple,[{}],True
How has Google demonstrated its support for strong climate policies through public policy engagement and advocacy?,"['We’ve consistently supported strong climate policies \naround the world in our public policy engagement and advocacy. In 2020, we published a climate change public policy position statement, Realizing a carbon-free future: Google’s Third Decade of Climate Action , expressing']","Google has consistently supported strong climate policies around the world through its public policy engagement and advocacy. In 2020, the company published a climate change public policy position statement titled 'Realizing a carbon-free future: Google’s Third Decade of Climate Action'. This statement reflects Google's commitment to addressing climate change and working towards a sustainable future.",simple,[{}],True
How is Google supporting The Nature Conservancy in developing a machine-learning-powered timber-tracing API to stop deforestation in the Amazon at scale?,"['iMasons Climate AccordGoogle is a founding member and part of the governing body of the iMasons Climate Accord, a coalition united on carbon reduction in digital infrastructure.\nReFEDIn 2022, to activate industry-wide change, Google provided anchor funding to kickstart the ReFED Catalytic Grant Fund, with the goal of accelerating and scaling food waste solutions.\nThe Nature Conservancy (TNC)In 2022, Google supported three of the Nature Conservancy’s watershed projects in Chile and the United States, and Google.org supported a three-phased approach to catalyze active reforestation of kelp at impactful scales. Google.org also provided a grant to TNC to develop a machine-learning-powered timber-tracing API to stop deforestation in the Amazon at scale; a team of Google engineers is working full-time for six months with TNC to develop this product as part of the Google.org Fellowship Program.']",Google supported The Nature Conservancy in developing a machine-learning-powered timber-tracing API to stop deforestation in the Amazon at scale by providing a grant and assigning a team of Google engineers to work full-time for six months with TNC as part of the Google.org Fellowship Program.,simple,[{}],True
How is Google helping public health in Chile through partnerships with BEF and Kilimo?,"['public health in the communities that make up an important part of our global workforce.\nCHILE\nGoogle partnered with the Bonneville Environmental Foundation on two initiatives to improve watershed health in Chile’s Maipo Basin. We provided funding to our implementation partner, Kilimo, to scale up precision irrigation using AI  to support increased agricultural productivity, maintain \nor improve natural pest control, protect groundwater and surface water resources, and reduce water demand across 260 hectares of farmland. Google also supported The Nature Conservancy’s efforts to monitor, protect, and improve the management of the High Andean wetlands , \nwhich offer many climate and water resilience benefits, as well as advocate for its large-scale protection.\nLegend\nLand conservation and restoration (7 projects)\nWater supply reliability (7 projects)Water, sanitation, and hygiene (WASH) (5 projects)Aquatic habitat restoration (11 projects)Water quality (8 projects)   54']","Google is helping public health in Chile through partnerships with BEF and Kilimo by funding initiatives to improve watershed health in Chile's Maipo Basin. They are scaling up precision irrigation using AI to support increased agricultural productivity, maintain or improve natural pest control, protect groundwater and surface water resources, and reduce water demand across 260 hectares of farmland.",reasoning,[{}],True
"How is Google working with UN-Energy and others to promote zero-carbon electricity, including the 24/7 Carbon-Free Energy for Cities program with C40?","['and UN-Energy  to help grow the movement to enable zero-carbon electricity. In 2022, the compact surpassed \n100 signatories.\nBonneville Environmental Foundation (BEF)Google has partnered closely with BEF since 2019 to kick off the implementation of our water strategy. In support of our 2030 replenishment and watershed health goals, it helped us to identify and support impactful water replenishment and watershed health projects globally, with a variety of local organizations and partners.\nBusiness for Social Responsibility (BSR) Google has been a member of BSR for many years and is one of a few select Spark members . We participate in \na number of BSR collaboration initiatives, and one of our senior leaders sits on its board.\nC40 CitiesC40 and Google launched  the 24/7 Carbon-Free Energy for Cities program to empower cities around the world']","Google is working with UN-Energy and others to promote zero-carbon electricity through initiatives like the compact with over 100 signatories, partnership with Bonneville Environmental Foundation (BEF) since 2019 for water strategy implementation, collaboration with Business for Social Responsibility (BSR) as a Spark member, and launching the 24/7 Carbon-Free Energy for Cities program with C40.",reasoning,[{}],True
"How does Green Light AI help city traffic engineers optimize traffic light timing to reduce stop-and-go traffic and emissions in Hamburg, Germany?","['Jeff DeanChief ScientistGoogle DeepMind and \nGoogle R\nesearch\nOptimization: Helping communities with AI-powered climate action planning.  Green Light is an AI-based tool \nthat helps city traffic engineers optimize the timing of  light changes to reduce stop-and-go traffic. Our recent tests in Hamburg, Germany, showed that at traffic lights with our AI-driven recommendations, cars made over 25% fewer stops, resulting in approximately 10% fewer emissions.\n\u200918 The Environmental Insights Explorer  (EIE) is \na freely available online tool built with and for cities and regions to support effective climate action planning. Many features in EIE are made possible through machine learning, such as estimating the solar potential of rooftops, calculating transportation emissions, and mapping tree canopy coverage. \nPrediction: Using AI to help communities address \nextreme weather events.  AI-powered tools can help', 'Road traffic\nWe also know that many cities suffer from urban road traffic, which wastes fuel and creates harmful air pollution. That’s why we created Green Light , an AI tool that \nmeasures driving trends at intersections and develops recommendations that city traffic engineers can use to optimize the timing of light changes to reduce stop-and-go traffic. Our recent tests in Hamburg, Germany showed that at traffic lights with our AI-driven recommendations, cars made over 25% fewer stops, resulting in approximately 10% fewer emissions at intersections.\n\u200955 \nCool roofs\nCool roofs are designed to reflect sunlight and absorb less heat, and they’re especially impactful in communities that may not have access to reliable air conditioning. We’re exploring how our technology—such as AI algorithms and aerial imagery—can help more places implement cool roofs . We’re able to map out the solar reflectivity of cities']","Green Light AI helps city traffic engineers optimize traffic light timing in Hamburg, Germany by providing AI-driven recommendations that resulted in cars making over 25% fewer stops at traffic lights, leading to approximately 10% fewer emissions.",multi_context,"[{}, {}]",True
How does Google support sustainable city projects with ICLEI and Global Covenant of Mayors?,"['Global Covenant of Mayors for Climate & Energy  (GCoM)Google’s Environmental Insights Explorer was developed in partnership with GCoM through a shared vision to support city climate action with useful and accessible data and insights. Today, GCoM is a strategic partner, sharing EIE data with its alliance of cities and local governments to accelerate climate action. \nICLEI AfricaICLEI EuropeICLEI USAGoogle is a partner of the regional secretariats of ICLEI—Local Governments for Sustainability—in Africa, Europe, and the U.S. Through these partnerships, ICLEI regional teams support sustainable city development projects  \nwith data and insights from Google’s Environmental Insights Explorer. Additionally, in 2022, Google.org  provided \na $10 million grant to ICLEI to support 10 nonprofit-led projects in the United States and Europe that help cities accelerate their sustainable transition through data-driven environmental and climate action at the local level.', 'Global Covenant of Mayors for Climate & Energy (GCoM),  \nC40 Cities Climate Leadership Group, ICLEI, and others.\nEIE makes actionable climate data available to more than \n40,000 cities and regions worldwide. Over a thousand cities globally have signed up to view their data and use the insights for their GHG inventories and climate action planning. For example, Iniciativa Climática de México is working with city officials to evaluate Mexico City’s building emissions and the potential to generate renewable energy from rooftop solar, using data from EIE, and support from Google.org and ICLEI. \nBuilding emissions']","Google supports sustainable city projects with ICLEI and Global Covenant of Mayors by providing data and insights through the Environmental Insights Explorer (EIE) platform. Additionally, Google.org provided a $10 million grant to ICLEI to support nonprofit-led projects in the United States and Europe that help cities accelerate their sustainable transition through data-driven environmental and climate action at the local level.",multi_context,"[{}, {}]",True
How does Google aim to replenish more freshwater than it consumes each year as part of its focus on responsible water use?,"['In addition to focusing on responsible water use within our \noperations, we aim to replenish 20% more freshwater than we consume each year, on a global average basis. We’ll focus our replenishment efforts in watersheds that Google offices and data centers rely on. The additional volume of water we replenish at each location will vary depending on the local conditions, and we’ll prioritize replenishment projects in water-scarce regions to help ensure that we’re positively impacting the areas that need it most.\nAs of the end of 2022, the first full year since we launched \nthis strategy and target, our contracted watershed projects have replenished 271 million gallons of water\n\u2009102—\nequivalent to more than 400 Olympic-sized swimming pools. This represents 6% of our 2022 freshwater consumption. As of the end of 2022, we estimate that these 38 replenishment projects had the capacity to replenish over 1.3 billion gallons of water annually once fully implemented.Water replenishment \nprojects']","Google aims to replenish 20% more freshwater than it consumes each year on a global average basis. They focus their replenishment efforts in watersheds that Google offices and data centers rely on, with the volume of water replenished varying based on local conditions. They prioritize replenishment projects in water-scarce regions to have a positive impact on areas that need it most.",simple,[{}],True
